"id_var","lettername1","lettername2","dob","gender","postcode","medicare10","vax_date_1","vax_type_1","vax_date_2","vax_type_2","vax_date_3","vax_type_3","vax_date_4","vax_type_4"
"AIR_00083","William","Smith",1957-08-25,"Male","4555","232232432832532232632832",2024-10-07,"COVID-19 mRNA (Moderna)",2024-12-15,"COVID-19 Novavax",2025-05-13,"RSV (Abrysvo)",2025-07-23,"COVID-19 mRNA (Pfizer)"
"AIR_00084","Grace","Nelson",1912-03-02,"Female","4559","494694694394594994294894",2021-10-22,"RSV (mRESVIA)",2022-01-12,"Pertussis (dTpa)",2022-03-15,"COVID-19 mRNA (Moderna)",NA,NA
"AIR_00085","Lucas","Baker",1983-05-03,"Male","4558","131431831631331531631031",2023-09-02,"COVID-19 Novavax",2023-12-23,"Influenza (quadrivalent)",NA,NA,NA,NA
"AIR_00086","Jacob","White",1941-01-07,"Male","4551","567167367467267067867767",2023-11-13,"Pertussis (dTpa)",2024-02-03,"COVID-19 mRNA (Pfizer)",NA,NA,NA,NA
"AIR_00087","Oliver","Hall",1956-02-25,"Male","4562","849049449649149449449749",2022-05-15,"COVID-19 mRNA (Pfizer)",2022-08-12,"RSV (mRESVIA)",2023-01-23,"Pertussis (dTpa)",2023-06-15,"COVID-19 mRNA (Moderna)"
"AIR_00088","Hannah","Martinez",1952-12-30,"Female","4557","405805705905105805005305",2022-06-15,"COVID-19 mRNA (Pfizer)",NA,NA,NA,NA,NA,NA
"AIR_00089","Ethan","Green",1966-04-15,"Male","4555","892492392192192992992292",2023-08-11,"Influenza (quadrivalent)",2023-10-24,"COVID-19 Novavax",2024-01-10,"Influenza (trivalent)",NA,NA
"AIR_00090","Samuel","Scott",1978-04-30,"Male","4561","331131931231431131231531",2023-07-02,"RSV (Abrysvo)",2023-11-06,"COVID-19 mRNA (Moderna)",NA,NA,NA,NA
"AIR_00091","Jackson","Wright",1957-08-20,"Male","4560","909609709409909509309709",2021-02-08,"RSV (Abrysvo)",2021-07-12,"Influenza (quadrivalent)",2021-12-08,"Pertussis (dTpa)",2022-02-17,"COVID-19 mRNA (Pfizer)"
"AIR_00092","Lucy","Lopez",1906-04-11,"Female","4555","606006206706806406706206",2022-11-11,"COVID-19 mRNA (Pfizer)",2023-03-30,"Influenza (trivalent)",2023-06-09,"Pertussis (dTpa)",2023-08-29,"RSV (mRESVIA)"
"AIR_00093","Hannah","Garcia",1934-05-12,"Female","4557","349949049649249549549249",2024-05-27,"COVID-19 mRNA (Moderna)",2024-10-21,"Influenza (quadrivalent)",NA,NA,NA,NA
"AIR_00094","Abigail","Baker",1960-09-29,"Female","4550","599799799499999199399599",2024-11-01,"COVID-19 Novavax",2025-03-10,"COVID-19 mRNA (Pfizer)",2025-05-13,"RSV (mRESVIA)",NA,NA
"AIR_00095","Evelyn","Robinson",1985-02-06,"Female","4553","686086886186586986586086",2024-01-27,"Pertussis (dTpa)",2024-06-06,"COVID-19 Novavax",2024-08-24,"COVID-19 mRNA (Moderna)",NA,NA
"AIR_00096","William","Gonzalez",1941-10-09,"Male","4562","988288188488088988188488",2021-07-17,"Influenza (trivalent)",NA,NA,NA,NA,NA,NA
"AIR_00097","James","Gonzalez",1978-07-28,"Male","4562","579479179479979579979079",2023-09-29,"COVID-19 Novavax",2024-03-08,"RSV (Abrysvo)",NA,NA,NA,NA
"AIR_00098","Michael","Clark",1937-07-02,"Male","4562","125525425825325825425925",2022-03-29,"Influenza (trivalent)",2022-06-11,"Influenza (quadrivalent)",2022-09-15,"RSV (Abrysvo)",2023-02-10,"COVID-19 mRNA (Moderna)"
"AIR_00099","Ryan","Johnson",1964-08-29,"Male","4558","976976276076776276576176",2024-08-11,"COVID-19 mRNA (Moderna)",NA,NA,NA,NA,NA,NA
"AIR_00100","Lily","Jones",1978-03-29,"Female","4553","173573373073873173573673",2023-09-19,"COVID-19 mRNA (Moderna)",2024-01-11,"Influenza (quadrivalent)",2024-04-09,"RSV (mRESVIA)",NA,NA
"AIR_00101","Evelyn","Thompson",1933-05-29,"Female","4556","594094594494294194894894",2021-06-08,"Influenza (trivalent)",2021-11-14,"COVID-19 Novavax",2022-03-28,"Influenza (quadrivalent)",NA,NA
"AIR_00102","Lucas","Johnson",1953-07-10,"Male","4552","883383283683783183983083",2022-08-28,"Pertussis (dTpa)",2022-11-14,"COVID-19 mRNA (Pfizer)",2023-04-12,"Influenza (trivalent)",2023-08-30,"COVID-19 mRNA (Moderna)"
"AIR_00103","Ava","Anderson",1935-11-20,"Female","4551","382082682182682982782882",2023-10-16,"COVID-19 mRNA (Moderna)",NA,NA,NA,NA,NA,NA
"AIR_00104","Liam","Brown",1990-01-01,"Male","4552","277377677377077477377677",2024-06-02,"RSV (mRESVIA)",NA,NA,NA,NA,NA,NA
"AIR_00105","Sophie","Rodriguez",1981-10-21,"Female","4552","116816116816816016016116",2021-05-31,"RSV (Abrysvo)",NA,NA,NA,NA,NA,NA
"AIR_00106","Hannah","Nelson",1920-12-14,"Female","4559","936936036636736436536136",2021-04-01,"RSV (Abrysvo)",NA,NA,NA,NA,NA,NA
"AIR_00107","Evelyn","Rodriguez",1946-04-14,"Female","4559","706106206806806006306506",2023-02-02,"COVID-19 mRNA (Pfizer)",NA,NA,NA,NA,NA,NA
"AIR_00108","Samuel","Wright",1953-02-07,"Male","4552","496396196396696596896596",2022-06-20,"Pertussis (dTpa)",NA,NA,NA,NA,NA,NA
"AIR_00109","Isla","Hill",1927-08-18,"Female","4559","612312212712812712712912",2023-04-03,"RSV (mRESVIA)",2023-09-17,"COVID-19 mRNA (Moderna)",2024-02-26,"Influenza (quadrivalent)",2024-05-17,"RSV (Abrysvo)"
"AIR_00110","Hannah","Anderson",1915-12-28,"Female","4552","123323823523723423023823",2022-09-30,"RSV (mRESVIA)",2023-01-16,"COVID-19 Novavax",2023-03-18,"Influenza (quadrivalent)",2023-06-21,"Pertussis (dTpa)"
"AIR_00111","Andrew","Garcia",1946-08-23,"Male","4558","432232932532832832032732",2023-11-23,"COVID-19 mRNA (Pfizer)",2024-02-16,"RSV (mRESVIA)",2024-04-30,"Pertussis (dTpa)",NA,NA
"AIR_00112","Amelia","Martinez",1927-08-17,"Female","4552","631131231631131931131931",2023-04-03,"Influenza (trivalent)",2023-06-10,"Pertussis (dTpa)",2023-10-28,"RSV (mRESVIA)",2024-01-09,"COVID-19 mRNA (Moderna)"
"AIR_00113","Isla","King",1915-07-10,"Female","4556","865465965865965065565365",2025-01-30,"COVID-19 mRNA (Moderna)",2025-04-04,"RSV (Abrysvo)",2025-06-06,"Influenza (quadrivalent)",NA,NA
"AIR_00114","Lily","Anderson",1956-05-23,"Female","4559","404604604104304004904904",2025-01-05,"RSV (Abrysvo)",2025-04-07,"RSV (mRESVIA)",2025-08-09,"COVID-19 mRNA (Pfizer)",2026-02-02,"COVID-19 Novavax"
"AIR_00115","Charlotte","Thompson",1965-10-26,"Female","4551","711311611511711611111411",2024-01-21,"RSV (Abrysvo)",NA,NA,NA,NA,NA,NA
"AIR_00116","Lucas","White",1978-07-02,"Male","4552","322922922022822622722622",2025-02-03,"COVID-19 mRNA (Moderna)",2025-05-05,"Influenza (trivalent)",NA,NA,NA,NA
"AIR_00117","Zoe","Clark",1940-10-16,"Female","4559","785385285085185385585785",2024-05-26,"COVID-19 mRNA (Pfizer)",NA,NA,NA,NA,NA,NA
"AIR_00118","Lily","Clark",1919-05-01,"Female","4553","343543443343243443643543",2021-04-14,"RSV (Abrysvo)",NA,NA,NA,NA,NA,NA
"AIR_00119","Mason","Anderson",1963-07-29,"Male","4556","942242442342742642442942",2022-12-05,"COVID-19 Novavax",2023-04-09,"Pertussis (dTpa)",NA,NA,NA,NA
"AIR_00120","Ethan","Robinson",1932-01-10,"Male","4552","423823223223323523923923",2021-05-03,"Influenza (trivalent)",2021-10-26,"COVID-19 mRNA (Moderna)",NA,NA,NA,NA
"AIR_00121","Charlotte","Rodriguez",1936-01-02,"Female","4562","658258858558458958258358",2024-11-26,"RSV (mRESVIA)",2025-02-13,"Influenza (trivalent)",NA,NA,NA,NA
"AIR_00122","Michael","Green",1928-11-06,"Male","4559","865765765165765965265965",2024-02-09,"RSV (mRESVIA)",NA,NA,NA,NA,NA,NA
"AIR_00123","Lucas","Lopez",1989-04-04,"Male","4550","878078178478978178878278",2022-01-20,"RSV (mRESVIA)",2022-04-15,"COVID-19 Novavax",2022-08-31,"COVID-19 mRNA (Moderna)",NA,NA
"AIR_00124","Ava","Anderson",1955-03-06,"Female","4560","966866066566666866866866",2022-02-18,"Pertussis (dTpa)",2022-06-20,"Influenza (quadrivalent)",NA,NA,NA,NA
"AIR_00125","Andrew","Green",1905-07-04,"Male","4553","989589089589189889389789",2021-05-25,"Pertussis (dTpa)",2021-08-15,"RSV (mRESVIA)",NA,NA,NA,NA
"AIR_00126","Isabella","Thompson",1961-04-16,"Female","4557","243143943243843143643543",2022-11-12,"COVID-19 Novavax",2023-05-09,"COVID-19 mRNA (Moderna)",2023-10-29,"Pertussis (dTpa)",2024-02-07,"Influenza (trivalent)"
"AIR_00127","Zoe","Thompson",1977-02-11,"Female","4560","373773173273073673773973",2022-11-13,"Pertussis (dTpa)",2023-03-14,"Influenza (trivalent)",NA,NA,NA,NA
"AIR_00128","Lucy","Martin",1972-02-12,"Female","4562","854254654054554954054354",2022-11-21,"Influenza (quadrivalent)",2023-04-14,"Pertussis (dTpa)",NA,NA,NA,NA
"AIR_00129","Evelyn","Hall",1965-03-06,"Female","4552","783383383983183883783483",2024-02-04,"Influenza (trivalent)",2024-06-24,"COVID-19 Novavax",2024-11-25,"COVID-19 mRNA (Moderna)",NA,NA
"AIR_00130","Liam","Harris",1983-01-05,"Male","4556","484084884784484684884384",2022-01-29,"RSV (mRESVIA)",NA,NA,NA,NA,NA,NA
"AIR_00131","Nathan","Wilson",1946-08-24,"Male","4553","252152952352152952752752",2022-07-14,"COVID-19 mRNA (Moderna)",2022-11-04,"Pertussis (dTpa)",2023-02-25,"RSV (Abrysvo)",NA,NA
"AIR_00132","Mason","Robinson",1960-01-31,"Male","4561","139139639839939139539239",2024-08-07,"COVID-19 mRNA (Pfizer)",NA,NA,NA,NA,NA,NA
"AIR_00133","Hannah","Young",1919-07-28,"Female","4552","529629829229229429929229",2022-05-30,"COVID-19 mRNA (Moderna)",2022-10-19,"Influenza (quadrivalent)",2023-03-02,"Influenza (trivalent)",2023-08-14,"COVID-19 Novavax"
"AIR_00134","Lucas","Harris",1968-06-07,"Male","4559","106406306306006406706206",2023-03-11,"Pertussis (dTpa)",2023-07-13,"COVID-19 Novavax",NA,NA,NA,NA
